词语,频率
代糖,3563
可乐,1256
蔗糖,1057
感觉,1022
无糖,1015
味道,969
觉得,940
出来,910
但是,580
真的,540
饮料,462
甜味,412
喜欢,407
一样,392
区别,332
奇怪,312
省油,289
电车,287
油车,286
正常,277
嘴里,270
喝完,259
好喝,256
那种,253
哈哈哈,233
白砂糖,231
恶心,230
捂脸,224
一点,223
完全,221
一口,217
失望,208
普通,206
自己,203
明显,200
糖浆,194
特别,189
一股,183
而且,181
森林,179
元气,177
舌头,175
接受,174
我能,172
可能,170
糖醇,169
朋友,168
还是,163
比较,162
知道,160
石化,159
爱喝,158
赤藓,158
难受,155
东西,149
一直,148
低血糖,144
白糖,140
难吃,136
不了,134
很多,133
那天,133
起来,133
有点,131
嗓子,120
口感,118
讨厌,113
不同,112
还有,111
敏感,111
直接,111
有种,108
确实,108
哈哈哈哈,107
一般,106
时候,105
健康,101
结果,99
假甜,97
怪味,96
真糖,92
百事,90
嘴巴,88
非常,87
别的,86
那么,85
发现,85
要死,84
奶茶,83
看到,82
味觉,82
味儿,82
罗汉果,81
反正,81
阿斯巴甜,80
吃不出来,79
吃饭,79
很难,78
木糖醇,78
酸奶,77
